CPU_capacity_provisioned_MHZ,CPU_cores,CPU_usage_%,CPU_usage_MHZ,Disk_read_throughput_KB_per_s,Disk_write_throughput_KB_per_s,Memory_capacity_provisioned_KB,Memory_usage_KB,Network_received_throughput_KB_per_s,Network_transmitted_throughput_KB_per_s,Timestamp_ms
2925.99956,1.0,2.666666666666667,78.02665493333335,0.0,0.6666666666666666,260352.0,26212.0,81.33333333333333,81.2,1376314846.0
2925.99956,1.0,2.8666666666666667,83.87865405333334,0.0,1.4666666666666666,260352.0,33027.46666666667,92.53333333333332,92.4,1376315146.0
2925.99956,1.0,2.0,58.51999120000001,0.0,0.6666666666666666,260352.0,60816.0,54.333333333333336,54.06666666666667,1376315446.0
2925.99956,1.0,2.466666666666667,72.17465581333335,0.0,0.7333333333333333,260352.0,41766.4,57.66666666666666,57.4,1376316346.0
2925.99956,1.0,2.533333333333333,74.12532218666666,0.0,0.6666666666666666,260352.0,20795.2,96.26666666666668,96.06666666666666,1376316646.0
2925.99956,1.0,2.8666666666666667,83.87865405333334,0.0,0.8,260352.0,17124.0,91.13333333333334,90.86666666666666,1376316946.0
2925.99956,1.0,3.0,87.7799868,0.0,1.2,260352.0,34775.73333333333,75.66666666666667,75.6,1376317246.0
2925.99956,1.0,2.0666666666666664,60.47065757333333,0.0,0.7333333333333333,260352.0,53301.066666666666,72.06666666666666,71.93333333333334,1376317546.0
2925.99956,1.0,2.0666666666666664,60.47065757333333,0.0,0.6666666666666666,260352.0,29183.2,51.266666666666666,51.0,1376317846.0
2925.99956,1.0,2.0,58.51999120000001,0.0,0.6666666666666666,260352.0,25337.866666666665,100.93333333333334,100.86666666666666,1376318146.0
2925.99956,1.0,1.8666666666666665,54.618658453333325,0.0,0.6666666666666666,260352.0,27085.33333333333,49.8,49.8,1376318446.0
2925.99956,1.0,2.1333333333333333,62.42132394666667,0.0,1.2666666666666666,260352.0,76369.6,49.53333333333333,49.53333333333333,1376318746.0
2925.99956,1.0,1.9333333333333331,56.56932482666667,0.0,0.6666666666666666,260352.0,33552.0,53.66666666666666,53.6,1376319046.0
2925.99956,1.0,2.4,70.22398944000001,0.0,1.2666666666666666,260352.0,33377.333333333336,59.13333333333333,59.13333333333333,1376319646.0
2925.99956,1.0,2.0,58.51999120000001,0.0,0.6666666666666666,260352.0,61689.333333333336,58.73333333333333,58.4,1376319946.0
2925.99956,1.0,1.6666666666666663,48.76665933333334,0.0,0.6666666666666666,260352.0,24638.666666666668,46.46666666666667,46.4,1376320246.0
2925.99956,1.0,1.9333333333333331,56.56932482666667,0.0,1.1333333333333333,260352.0,30930.4,41.0,40.86666666666667,1376320546.0
2925.99956,1.0,2.1333333333333333,62.42132394666667,0.0,0.9333333333333332,260352.0,63437.333333333336,51.53333333333333,51.53333333333333,1376320846.0
2925.99956,1.0,1.6666666666666663,48.76665933333334,0.0,0.6666666666666666,260352.0,28659.2,53.266666666666666,53.06666666666667,1376321146.0
2925.99956,1.0,1.8,52.667992080000005,0.0,0.6666666666666666,260352.0,21492.8,53.8,53.66666666666666,1376321446.0
2925.99956,1.0,2.2,64.37199032000001,0.0,1.2666666666666666,260352.0,42116.0,52.46666666666667,52.4,1376321746.0
2925.99956,1.0,1.8,52.667992080000005,0.0,0.6666666666666666,260352.0,63436.8,61.86666666666667,61.66666666666666,1376322046.0
2925.99956,1.0,2.0,58.51999120000001,0.0,0.8,260352.0,31455.2,71.2,71.13333333333334,1376322346.0
2925.99956,1.0,2.0,58.51999120000001,0.0,1.2,260352.0,30756.266666666663,59.53333333333333,59.333333333333336,1376322647.0
2925.99956,1.0,1.4,40.96399384,0.0,0.6666666666666666,260352.0,33028.0,26.53333333333333,26.466666666666665,1376323247.0
2925.99956,1.0,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,25163.2,26.933333333333334,26.866666666666667,1376323547.0
2925.99956,1.0,1.6666666666666663,48.76665933333334,0.0,1.2,260352.0,65534.4,32.666666666666664,32.46666666666667,1376323847.0
2925.99956,1.0,1.8,52.667992080000005,0.0,0.8,260352.0,37921.066666666666,41.333333333333336,41.13333333333333,1376324147.0
2925.99956,1.0,1.4666666666666666,42.914660213333335,0.0,0.6666666666666666,260352.0,21144.266666666663,37.53333333333333,37.46666666666667,1376324447.0
2925.99956,1.0,1.6,46.81599296,0.0,1.2,260352.0,28658.666666666668,35.93333333333333,35.86666666666667,1376324747.0
