CPU_capacity_provisioned_MHZ,CPU_cores,CPU_usage_%,CPU_usage_MHZ,Disk_read_throughput_KB_per_s,Disk_write_throughput_KB_per_s,Memory_capacity_provisioned_KB,Memory_usage_KB,Network_received_throughput_KB_per_s,Network_transmitted_throughput_KB_per_s,Timestamp_ms
2925.99934,1.0,0.5333333333333333,15.605329813333332,0.0666666666666666,7.066666666666666,2097152.0,215304.8,0.0,0.1333333333333333,1376314846.0
2925.99934,1.0,0.6,17.555996039999997,0.0666666666666666,7.333333333333333,2097152.0,167771.2,0.0,0.1333333333333333,1376315146.0
2925.99934,1.0,0.5333333333333333,15.605329813333332,0.0666666666666666,7.733333333333333,2097152.0,229285.3333333333,0.0,0.1333333333333333,1376315746.0
2925.99934,1.0,0.6666666666666667,19.506662266666662,0.0,6.933333333333334,2097152.0,187342.66666666663,0.0,0.1333333333333333,1376316046.0
2925.99934,1.0,0.6666666666666667,19.506662266666662,0.0666666666666666,7.333333333333333,2097152.0,201324.0,0.0,0.1333333333333333,1376316346.0
2925.99934,1.0,0.4,11.70399736,0.0,7.533333333333333,2097152.0,243267.2,0.0,0.0666666666666666,1376317546.0
2925.99934,1.0,0.6,17.555996039999997,0.0666666666666666,7.066666666666666,2097152.0,216703.46666666667,0.0,0.0666666666666666,1376317846.0
2925.99934,1.0,0.6,17.555996039999997,0.0,7.8,2097152.0,197130.66666666663,0.0,0.1333333333333333,1376318146.0
2925.99934,1.0,0.6,17.555996039999997,0.0666666666666666,7.533333333333333,2097152.0,166372.8,0.0,0.0666666666666666,1376318446.0
2925.99934,1.0,0.4,11.70399736,0.0666666666666666,7.266666666666667,2097152.0,215305.3333333333,0.0,0.0666666666666666,1376318746.0
2925.99934,1.0,0.6,17.555996039999997,0.0666666666666666,7.533333333333333,2097152.0,255849.86666666667,0.0,0.0666666666666666,1376319346.0
2925.99934,1.0,0.4666666666666666,13.654663586666665,0.0,7.066666666666666,2097152.0,218100.8,0.0,0.0666666666666666,1376319646.0
2925.99934,1.0,0.5333333333333333,15.605329813333332,0.0666666666666666,7.533333333333333,2097152.0,194333.6,0.0,0.0666666666666666,1376319946.0
