Timestamp [ms],	CPU cores,	CPU capacity provisioned [MHZ],	CPU usage [MHZ],	CPU usage [%],	Memory capacity provisioned [KB],	Memory usage [KB],	Disk read throughput [KB/s],	Disk write throughput [KB/s],	Network received throughput [KB/s],	Network transmitted throughput [KB/s]
1376323547.0,4.0,10399.998896,199.3333121733333,1.9166666666666663,16777216.0,0.0,0.0,2.0,0.5,0.0
1376323847.0,4.0,10399.998896,121.33332045333331,1.1666666666666667,16777216.0,44739.2,0.0,2.1333333333333333,0.2666666666666666,0.0
1376324447.0,4.0,10399.998896,117.86665415466663,1.1333333333333333,16777216.0,201326.4,0.0,1.2,0.2,0.0
1376324747.0,4.0,10399.998896,119.59998730399998,1.15,16777216.0,167772.0,0.0,1.9333333333333331,0.2,0.0
1376325047.0,4.0,10399.998896,117.86665415466663,1.1333333333333333,16777216.0,167772.0,0.0,1.2,0.2666666666666666,0.0
1376325347.0,4.0,10399.998896,126.53331990133334,1.2166666666666668,16777216.0,123032.8,0.0,7.266666666666667,0.5333333333333333,0.8
1376325647.0,4.0,10399.998896,124.79998675199998,1.2,16777216.0,201326.4,0.0,8.133333333333333,0.5333333333333333,0.1333333333333333
1376325947.0,4.0,10399.998896,117.86665415466663,1.1333333333333333,16777216.0,78293.6,0.0,1.2666666666666666,0.2666666666666666,0.0
1376326247.0,4.0,10399.998896,121.33332045333331,1.1666666666666667,16777216.0,100663.2,0.0,1.6,0.2,0.0
1376326547.0,4.0,10399.998896,121.33332045333331,1.1666666666666667,16777216.0,167772.0,0.0,1.2,0.2666666666666666,0.0
1376326847.0,4.0,10399.998896,116.13332100533331,1.1166666666666667,16777216.0,167772.0,0.0,1.6,0.2,0.0
1376327147.0,4.0,10399.998896,116.13332100533331,1.1166666666666667,16777216.0,167772.0,0.0,1.9333333333333331,0.2,0.0
1376327447.0,4.0,10399.998896,121.33332045333331,1.1666666666666667,16777216.0,212511.2,0.0,1.1333333333333333,0.2666666666666666,0.0
1376327747.0,4.0,10399.998896,116.13332100533331,1.1166666666666667,16777216.0,190141.6,0.0,1.1333333333333333,0.2666666666666666,0.0
1376328047.0,4.0,10399.998896,117.86665415466663,1.1333333333333333,16777216.0,78293.6,0.0,1.2666666666666666,0.3333333333333333,0.0
1376328347.0,4.0,10399.998896,119.59998730399998,1.15,16777216.0,89478.4,0.0,1.2,0.3333333333333333,0.0
1376328647.0,4.0,10399.998896,116.13332100533331,1.1166666666666667,16777216.0,279620.0,0.0,1.8,0.0666666666666666,0.0
1376328947.0,4.0,10399.998896,123.06665360266666,1.1833333333333331,16777216.0,402652.8,0.0,3.2,0.3333333333333333,0.5333333333333333
1376329247.0,4.0,10399.998896,119.59998730399998,1.15,16777216.0,223696.0,0.0,1.4666666666666666,0.2,0.0
1376329547.0,4.0,10399.998896,114.399987856,1.1,16777216.0,123032.8,0.0,5.2,0.4,0.1333333333333333
1376329847.0,4.0,10399.998896,116.13332100533331,1.1166666666666667,16777216.0,134217.6,0.0,4.066666666666666,0.3333333333333333,0.2
1376330147.0,4.0,10399.998896,110.93332155733331,1.0666666666666669,16777216.0,123032.8,0.0,1.4666666666666666,0.3333333333333333,0.0
1376330447.0,4.0,10399.998896,110.93332155733331,1.0666666666666669,16777216.0,167772.0,0.0,1.2,0.0666666666666666,0.0
1376330747.0,4.0,10399.998896,112.66665470666663,1.0833333333333333,16777216.0,290804.8,0.0,1.2,0.2666666666666666,0.0
1376331047.0,4.0,10399.998896,110.93332155733331,1.0666666666666669,16777216.0,123032.8,0.0,6.733333333333333,0.8,0.1333333333333333
1376331347.0,4.0,10399.998896,116.13332100533331,1.1166666666666667,16777216.0,234880.8,0.0,5.933333333333334,0.4666666666666667,0.1333333333333333
1376331647.0,4.0,10399.998896,110.93332155733331,1.0666666666666669,16777216.0,111848.0,0.0,1.1333333333333333,0.0666666666666666,0.0
1376332847.0,4.0,10399.998896,105.73332210933332,1.0166666666666666,16777216.0,257250.4,0.0,1.2666666666666666,0.2666666666666666,0.0
1376333147.0,4.0,10399.998896,109.199988408,1.05,16777216.0,89478.4,0.0,1.3333333333333333,0.4,0.0
1376333447.0,4.0,10399.998896,100.53332266133332,0.9666666666666668,16777216.0,44739.2,0.0,1.4666666666666666,0.2,0.0
1376333747.0,4.0,10399.998896,105.73332210933332,1.0166666666666666,16777216.0,145402.4,0.0,1.1333333333333333,0.3333333333333333,0.0
1376334047.0,4.0,10399.998896,102.26665581066663,0.9833333333333332,16777216.0,290804.8,0.0,1.3333333333333333,0.1333333333333333,0.0
1376334347.0,4.0,10399.998896,102.26665581066663,0.9833333333333332,16777216.0,178956.8,0.0,1.6,0.2,0.0
1376334647.0,4.0,10399.998896,109.199988408,1.05,16777216.0,279620.0,0.0,1.4666666666666666,0.3333333333333333,0.0
1376334947.0,4.0,10399.998896,121.33332045333331,1.1666666666666667,16777216.0,346728.8,0.0,1.2666666666666666,0.2,0.0
1376335247.0,4.0,10399.998896,119.59998730399998,1.15,16777216.0,268435.2,0.0,1.1333333333333333,0.1333333333333333,0.0
1376335547.0,4.0,10399.998896,117.86665415466663,1.1333333333333333,16777216.0,167772.0,0.0,1.6666666666666667,0.1333333333333333,0.0
1376335847.0,4.0,10399.998896,119.59998730399998,1.15,16777216.0,134217.6,0.0,1.0666666666666669,0.0,0.0
1376336147.0,4.0,10399.998896,128.26665305066666,1.2333333333333334,16777216.0,212511.2,0.0,3.2,0.3333333333333333,0.5333333333333333
